time,value
2020-01-01T00:00,63263
2020-01-01T00:15,66547
2020-01-01T00:30,66018
2020-01-01T00:45,65273
2020-01-01T01:00,64386
2020-01-01T01:15,63579
2020-01-01T01:30,63105
2020-01-01T01:45,62288
2020-01-01T02:00,61284
2020-01-01T02:15,63606
2020-01-01T02:30,63102
2020-01-01T02:45,61574
2020-01-01T03:00,60494
2020-01-01T03:15,59640
2020-01-01T03:30,58861
2020-01-01T03:45,57858
2020-01-01T04:00,57551
2020-01-01T04:15,57433
2020-01-01T04:30,57344
2020-01-01T04:45,56725
2020-01-01T05:00,56449
2020-01-01T05:15,57628
2020-01-01T05:30,58287
2020-01-01T05:45,58440
2020-01-01T06:00,58467
2020-01-01T06:15,59164
2020-01-01T06:30,59629
2020-01-01T06:45,60166
2020-01-01T07:00,60731
2020-01-01T07:15,61901
2020-01-01T07:30,62146
2020-01-01T07:45,62574
2020-01-01T08:00,62807
2020-01-01T08:15,63271
2020-01-01T08:30,63350
2020-01-01T08:45,63152
2020-01-01T09:00,63408
2020-01-01T09:15,63828
2020-01-01T09:30,64515
2020-01-01T09:45,65624
2020-01-01T10:00,66377
2020-01-01T10:15,67774
2020-01-01T10:30,68613
2020-01-01T10:45,69088
2020-01-01T11:00,69760
2020-01-01T11:15,70253
2020-01-01T11:30,70428
2020-01-01T11:45,71010
2020-01-01T12:00,71811
2020-01-01T12:15,72209
2020-01-01T12:30,72476
2020-01-01T12:45,72971
2020-01-01T13:00,73057
2020-01-01T13:15,73175
2020-01-01T13:30,73448
2020-01-01T13:45,73553
2020-01-01T14:00,73734
2020-01-01T14:15,73538
2020-01-01T14:30,73408
2020-01-01T14:45,73159
2020-01-01T15:00,73097
2020-01-01T15:15,72737
2020-01-01T15:30,72791
2020-01-01T15:45,73266
2020-01-01T16:00,73847
2020-01-01T16:15,74357
2020-01-01T16:30,74828
2020-01-01T16:45,75858
2020-01-01T17:00,77245
2020-01-01T17:15,77927
2020-01-01T17:30,78639
2020-01-01T17:45,79279
2020-01-01T18:00,80015
2020-01-01T18:15,79961
2020-01-01T18:30,80216
2020-01-01T18:45,79925
2020-01-01T19:00,79649
2020-01-01T19:15,78441
2020-01-01T19:30,77812
2020-01-01T19:45,76821
2020-01-01T20:00,76224
2020-01-01T20:15,75032
2020-01-01T20:30,74383
2020-01-01T20:45,73742
2020-01-01T21:00,72885
2020-01-01T21:15,71783
2020-01-01T21:30,70695
2020-01-01T21:45,69898
2020-01-01T22:00,68910
2020-01-01T22:15,68033
2020-01-01T22:30,66849
2020-01-01T22:45,65641
