time,temp,elec
2019-01-01T00:00:00,6.9,120702
2019-01-01T01:00:00,6.9,120165
2019-01-01T02:00:00,6.3,115683
2019-01-01T03:00:00,6.1,109393
2019-01-01T04:00:00,6.1,106223
2019-01-01T05:00:00,5.9,108463
2019-01-01T06:00:00,6.0,113312
2019-01-01T07:00:00,5.6,118305
2019-01-01T08:00:00,5.2,121016
2019-01-01T09:00:00,4.8,123699
2019-01-01T10:00:00,4.7,129514
2019-01-01T11:00:00,4.7,134250
2019-01-01T12:00:00,5.0,138059
2019-01-01T13:00:00,5.4,139279
2019-01-01T14:00:00,5.6,138457
2019-01-01T15:00:00,5.8,138367
2019-01-01T16:00:00,5.8,141268
2019-01-01T17:00:00,5.8,149186
2019-01-01T18:00:00,6.0,151935
2019-01-01T19:00:00,5.9,148428
2019-01-01T20:00:00,5.8,140924
2019-01-01T21:00:00,5.8,133707
2019-01-01T22:00:00,5.7,127777
2019-01-01T23:00:00,5.5,121893
2019-01-02T00:00:00,5.8,114006
2019-01-02T01:00:00,5.7,111173
2019-01-02T02:00:00,5.6,107885
2019-01-02T03:00:00,5.5,103741
2019-01-02T04:00:00,5.0,104569
2019-01-02T05:00:00,4.4,113335
2019-01-02T06:00:00,3.7,130664
2019-01-02T07:00:00,3.2,149525
2019-01-02T08:00:00,2.8,162384
2019-01-02T09:00:00,1.9,168821
2019-01-02T10:00:00,2.1,175721
2019-01-02T11:00:00,3.2,179530
2019-01-02T12:00:00,3.8,180713
2019-01-02T13:00:00,4.1,179301
2019-01-02T14:00:00,4.4,176558
2019-01-02T15:00:00,4.7,173428
2019-01-02T16:00:00,4.5,174863
2019-01-02T17:00:00,4.4,178767
2019-01-02T18:00:00,3.5,180842
2019-01-02T19:00:00,3.0,170989
2019-01-02T20:00:00,2.4,158418
2019-01-02T21:00:00,1.9,145071
2019-01-02T22:00:00,1.2,137432
2019-01-02T23:00:00,0.2,128207
2019-01-03T00:00:00,-0.3,118663
2019-01-03T01:00:00,-0.6,115436
2019-01-03T02:00:00,-1.9,112077
2019-01-03T03:00:00,-2.7,107880
2019-01-03T04:00:00,-2.9,108659
2019-01-03T05:00:00,-3.2,117568
2019-01-03T06:00:00,-3.5,136433
2019-01-03T07:00:00,-3.9,158549
2019-01-03T08:00:00,-3.8,172899
2019-01-03T09:00:00,-3.8,180203
2019-01-03T10:00:00,-3.4,185274
2019-01-03T11:00:00,-1.4,186961
2019-01-03T12:00:00,-0.3,186351
2019-01-03T13:00:00,1.0,183467
2019-01-03T14:00:00,1.9,180948
2019-01-03T15:00:00,2.2,180301
2019-01-03T16:00:00,2.4,181371
2019-01-03T17:00:00,2.1,185176
2019-01-03T18:00:00,1.3,185947
2019-01-03T19:00:00,1.3,176232
2019-01-03T20:00:00,1.4,163995
2019-01-03T21:00:00,0.8,149475
2019-01-03T22:00:00,0.3,139794
2019-01-03T23:00:00,0.3,130721
2019-01-04T00:00:00,0.2,120738
2019-01-04T01:00:00,0.0,116549
2019-01-04T02:00:00,-0.3,113698
2019-01-04T03:00:00,0.3,109112
2019-01-04T04:00:00,0.1,110111
2019-01-04T05:00:00,-0.4,118539
2019-01-04T06:00:00,-0.9,137351
2019-01-04T07:00:00,-1.1,158934
2019-01-04T08:00:00,-1.4,174243
2019-01-04T09:00:00,-1.6,180729
2019-01-04T10:00:00,-1.7,186450
2019-01-04T11:00:00,0.1,188303
2019-01-04T12:00:00,1.5,187904
2019-01-04T13:00:00,2.5,184474
2019-01-04T14:00:00,3.2,180588
2019-01-04T15:00:00,3.6,177602
2019-01-04T16:00:00,3.6,179720
2019-01-04T17:00:00,2.8,184359
2019-01-04T18:00:00,1.8,186021
2019-01-04T19:00:00,1.8,177181
2019-01-04T20:00:00,1.7,164226
2019-01-04T21:00:00,0.7,149254
2019-01-04T22:00:00,1.5,141368
2019-01-04T23:00:00,0.7,133041
2019-01-05T00:00:00,1.1,122419
2019-01-05T01:00:00,0.8,119130
2019-01-05T02:00:00,0.9,114197
2019-01-05T03:00:00,1.0,108792
2019-01-05T04:00:00,0.9,108504
2019-01-05T05:00:00,0.8,112906
2019-01-05T06:00:00,0.4,119845
2019-01-05T07:00:00,0.8,128479
2019-01-05T08:00:00,0.9,138732
2019-01-05T09:00:00,1.2,149437
2019-01-05T10:00:00,1.0,156960
2019-01-05T11:00:00,1.1,160850
2019-01-05T12:00:00,1.3,164760
2019-01-05T13:00:00,1.6,164245
2019-01-05T14:00:00,1.7,163644
2019-01-05T15:00:00,1.8,165695
2019-01-05T16:00:00,2.0,162772
2019-01-05T17:00:00,2.2,168164
2019-01-05T18:00:00,2.3,169820
2019-01-05T19:00:00,2.3,161071
2019-01-05T20:00:00,2.5,152572
2019-01-05T21:00:00,2.7,143468
2019-01-05T22:00:00,2.8,135552
2019-01-05T23:00:00,3.0,126874
2019-01-06T00:00:00,3.0,118858
2019-01-06T01:00:00,3.1,113600
2019-01-06T02:00:00,3.2,108791
2019-01-06T03:00:00,3.3,106002
2019-01-06T04:00:00,3.4,104772
2019-01-06T05:00:00,3.4,107059
2019-01-06T06:00:00,3.4,111142
2019-01-06T07:00:00,3.2,116283
2019-01-06T08:00:00,3.3,121370
2019-01-06T09:00:00,3.2,128819
2019-01-06T10:00:00,3.2,135530
2019-01-06T11:00:00,3.5,139965
2019-01-06T12:00:00,4.1,144578
2019-01-06T13:00:00,4.5,145288
2019-01-06T14:00:00,4.5,144152
2019-01-06T15:00:00,4.5,142506
2019-01-06T16:00:00,4.6,145585
2019-01-06T17:00:00,4.5,154125
2019-01-06T18:00:00,4.0,159490
2019-01-06T19:00:00,3.8,156707
2019-01-06T20:00:00,3.8,148879
2019-01-06T21:00:00,3.6,141040
2019-01-06T22:00:00,3.5,132902
2019-01-06T23:00:00,3.4,121871
2019-01-07T00:00:00,3.4,114318
2019-01-07T01:00:00,3.1,107688
2019-01-07T02:00:00,3.3,105198
2019-01-07T03:00:00,3.3,104865
2019-01-07T04:00:00,3.3,107280
2019-01-07T05:00:00,3.5,118533
2019-01-07T06:00:00,3.1,142049
2019-01-07T07:00:00,3.3,169726
2019-01-07T08:00:00,3.3,190598
2019-01-07T09:00:00,3.2,196027
2019-01-07T10:00:00,3.4,201238
2019-01-07T11:00:00,3.5,205633
2019-01-07T12:00:00,3.8,207153
2019-01-07T13:00:00,3.9,202411
2019-01-07T14:00:00,4.1,199606
2019-01-07T15:00:00,4.3,197578
2019-01-07T16:00:00,4.3,196025
2019-01-07T17:00:00,4.3,197290
2019-01-07T18:00:00,4.0,196004
2019-01-07T19:00:00,3.2,184351
2019-01-07T20:00:00,3.3,170258
2019-01-07T21:00:00,2.8,154029
2019-01-07T22:00:00,3.1,142801
2019-01-07T23:00:00,3.2,132032
2019-01-08T00:00:00,3.3,120999
2019-01-08T01:00:00,3.3,117244
2019-01-08T02:00:00,3.3,115038
2019-01-08T03:00:00,3.1,111028
2019-01-08T04:00:00,2.7,112116
2019-01-08T05:00:00,2.6,120370
2019-01-08T06:00:00,2.6,143847
2019-01-08T07:00:00,2.8,173525
2019-01-08T08:00:00,3.0,193511
2019-01-08T09:00:00,3.4,199807
2019-01-08T10:00:00,3.6,204971
2019-01-08T11:00:00,4.0,207766
2019-01-08T12:00:00,4.3,206862
2019-01-08T13:00:00,4.7,201729
2019-01-08T14:00:00,5.3,196408
2019-01-08T15:00:00,5.4,193889
2019-01-08T16:00:00,5.9,191686
2019-01-08T17:00:00,5.6,196719
2019-01-08T18:00:00,5.2,196803
2019-01-08T19:00:00,4.9,186086
2019-01-08T20:00:00,4.9,171349
2019-01-08T21:00:00,4.7,155471
2019-01-08T22:00:00,4.4,143528
2019-01-08T23:00:00,4.1,132586
2019-01-09T00:00:00,3.9,120853
2019-01-09T01:00:00,3.9,116988
2019-01-09T02:00:00,3.8,114018
2019-01-09T03:00:00,4.0,109429
2019-01-09T04:00:00,3.7,110624
2019-01-09T05:00:00,3.1,120276
2019-01-09T06:00:00,2.7,143944
2019-01-09T07:00:00,2.6,173379
2019-01-09T08:00:00,2.5,192962
2019-01-09T09:00:00,2.6,201338
2019-01-09T10:00:00,2.6,206833
2019-01-09T11:00:00,2.9,211029
2019-01-09T12:00:00,3.1,209522
2019-01-09T13:00:00,3.6,206611
2019-01-09T14:00:00,3.7,205103
2019-01-09T15:00:00,3.5,198746
2019-01-09T16:00:00,3.5,195760
2019-01-09T17:00:00,2.7,202780
2019-01-09T18:00:00,2.0,201574
2019-01-09T19:00:00,1.6,190325
2019-01-09T20:00:00,1.3,174665
2019-01-09T21:00:00,1.2,158469
2019-01-09T22:00:00,1.0,147026
2019-01-09T23:00:00,0.9,134954
2019-01-10T00:00:00,1.0,123513
