minutes,value
00:00,65900
00:15,65900
00:30,64840
00:45,63789
01:00,63138
01:15,62333
01:30,62034
01:45,61127
02:00,60355
02:15,62555
02:30,61784
02:45,60737
03:00,59750
03:15,58254
03:30,57993
03:45,56661
04:00,56528
04:15,55310
04:30,55283
04:45,55394
05:00,54676
05:15,55432
05:30,56170
05:45,56608
06:00,57115
06:15,57946
06:30,58523
06:45,58907
07:00,59414
07:15,60227
07:30,60652
07:45,60871
08:00,61561
08:15,62198
08:30,61886
08:45,61742
09:00,62245
09:15,62472
09:30,63063
09:45,63693
10:00,64640
10:15,65598
10:30,66638
10:45,67236
11:00,67999
11:15,68476
11:30,68856
11:45,69175
12:00,69901
12:15,70216
12:30,70494
12:45,70870
13:00,71125
13:15,71306
13:30,71121
13:45,70975
14:00,71127
14:15,71232
14:30,71443
14:45,71654
15:00,71902
15:15,71992
15:30,72604
15:45,73825
16:00,74661
16:15,75139
16:30,75477
16:45,76261
17:00,76510
17:15,77684
17:30,78054
17:45,78764
18:00,79081
18:15,79185
18:30,79143
18:45,78622
19:00,78209
19:15,77459
19:30,76724
19:45,76013
20:00,75470
20:15,74178
20:30,73666
20:45,72849
21:00,71865
21:15,70905
21:30,70011
21:45,69151
22:00,68293
22:15,67012
22:30,65776
22:45,64562
23:00,63176
23:15,61685
23:30,60566
23:45,59467
